Controller,Longitudinal,GDP_Scenario,Peak_Speed_mps,Speed_Mode,RMS_CTE_m,Peak_CTE_m,RMS_Heading_Err_deg,RMS_Speed_Err_mps,Peak_Speed_Err_mps,Peak_Lon_Dev_m,RMS_Lon_Dev_m,Loop_Time_s,Goal_Reached,Termination,REQ1_Lat_Pass,REQ1_Lon_Pass,Overall_Pass
mpc+pid,pid,GDP-S1,0.5,constant,0.1707,0.3041,25.564,0.0192,0.0823,0.2042,0.1057,400,false,max_travel_time,PASS,PASS,PASS
mpc+pid,pid,GDP-S2,2,constant,0.0602,0.2028,2.0018,0.0664,1.4929,0.5169,0.1013,177.85,true,goal_reached,PASS,PASS,PASS
mpc+pid,pid,GDP-S3,3,profile,0.0349,0.1485,6.5944,0.112,2.4534,1.1992,0.1141,250,false,max_travel_time,PASS,FAIL,FAIL
mpc+pid,pid,GDP-S3,4,profile,0.0673,0.2074,2.2277,0.1956,2.9908,1.7377,0.2126,142.35,true,goal_reached,PASS,FAIL,FAIL
mpc+pid,pid,GDP-S3,5,profile,0.0688,0.2093,2.2802,0.2254,3.2708,2.0462,0.2568,136.05,true,goal_reached,PASS,FAIL,FAIL
mpc+pid,pid,GDP-S3,7,profile,0.0908,0.2834,2.6841,0.2902,3.4444,2.2493,0.3492,96.2,true,goal_reached,PASS,FAIL,FAIL
mpc+pid,pid,GDP-S3-EXT,10,constant,13.5851,23.0719,55.3805,1.0765,9.4929,14.5701,2.1664,150,false,max_travel_time,FAIL,FAIL,FAIL
mpc+lqr,lqr,GDP-S1,0.5,constant,0.1706,0.3006,25.5771,0.0187,0.0736,0.1213,0.0507,400,false,max_travel_time,PASS,PASS,PASS
mpc+lqr,lqr,GDP-S2,2,constant,0.0602,0.2056,2.0012,0.0685,1.4929,0.5112,0.0939,177.85,true,goal_reached,PASS,PASS,PASS
mpc+lqr,lqr,GDP-S3,3,profile,0.0344,0.1469,6.5603,0.1121,2.4534,1.1992,0.1057,250,false,max_travel_time,PASS,FAIL,FAIL
mpc+lqr,lqr,GDP-S3,4,profile,0.0671,0.2048,2.2272,0.1891,2.9908,1.7377,0.2051,142.35,true,goal_reached,PASS,FAIL,FAIL
mpc+lqr,lqr,GDP-S3,5,profile,0.0691,0.2043,2.2817,0.2195,3.2708,2.0462,0.2462,136,true,goal_reached,PASS,FAIL,FAIL
mpc+lqr,lqr,GDP-S3,7,profile,0.0902,0.2782,2.6744,0.2807,3.4444,2.2493,0.3323,96.15,true,goal_reached,PASS,FAIL,FAIL
mpc+lqr,lqr,GDP-S3-EXT,10,constant,13.237,24.505,55.802,1.003,9.4929,14.5701,2.1499,150,false,max_travel_time,FAIL,FAIL,FAIL
mpc_combined,none,GDP-S1,0.5,constant,0.1305,0.3722,23.9974,0.0722,0.0844,0.1704,0.162,400,false,max_travel_time,PASS,PASS,PASS
mpc_combined,none,GDP-S2,2,constant,0.0728,0.2761,1.9946,0.0671,1.4929,0.5113,0.0981,177.75,true,goal_reached,PASS,PASS,PASS
mpc_combined,none,GDP-S3,3,profile,0.0619,0.2071,6.5249,0.1139,2.4534,1.2009,0.1056,250,false,max_travel_time,PASS,FAIL,FAIL
mpc_combined,none,GDP-S3,4,profile,0.1052,0.3226,2.2147,0.1981,2.9908,1.7418,0.2002,142.2,true,goal_reached,PASS,FAIL,FAIL
mpc_combined,none,GDP-S3,5,profile,0.0961,0.2831,2.2655,0.229,3.2708,2.0517,0.2452,135.9,true,goal_reached,PASS,FAIL,FAIL
mpc_combined,none,GDP-S3,7,profile,0.1226,0.3688,2.6142,0.2936,3.4444,2.2554,0.3333,96.05,true,goal_reached,PASS,FAIL,FAIL
mpc_combined,none,GDP-S3-EXT,10,constant,1.3811,5.7947,6.3092,2.136,9.4929,14.6007,4.3456,36.3,true,goal_reached,FAIL,FAIL,FAIL
